feat_400.00,feat_405.04,feat_410.08,feat_415.13,feat_420.17,feat_425.21,feat_430.25,feat_435.29,feat_440.34,feat_445.38,feat_450.42,feat_455.46,feat_460.50,feat_465.55,feat_470.59,feat_475.63,feat_480.67,feat_485.71,feat_490.76,feat_495.80,feat_500.84,feat_505.88,feat_510.92,feat_515.97,feat_521.01,feat_526.05,feat_531.09,feat_536.13,feat_541.18,feat_546.22,feat_551.26,feat_556.30,feat_561.34,feat_566.39,feat_571.43,feat_576.47,feat_581.51,feat_586.55,feat_591.60,feat_596.64,feat_601.68,feat_606.72,feat_611.76,feat_616.81,feat_621.85,feat_626.89,feat_631.93,feat_636.97,feat_642.02,feat_647.06,feat_652.10,feat_657.14,feat_662.18,feat_667.23,feat_672.27,feat_677.31,feat_682.35,feat_687.39,feat_692.44,feat_697.48,feat_702.52,feat_707.56,feat_712.61,feat_717.65,feat_722.69,feat_727.73,feat_732.77,feat_737.82,feat_742.86,feat_747.90,feat_752.94,feat_757.98,feat_763.03,feat_768.07,feat_773.11,feat_778.15,feat_783.19,feat_788.24,feat_793.28,feat_798.32,feat_803.36,feat_808.40,feat_813.45,feat_818.49,feat_823.53,feat_828.57,feat_833.61,feat_838.66,feat_843.70,feat_848.74,feat_853.78,feat_858.82,feat_863.87,feat_868.91,feat_873.95,feat_878.99,feat_884.03,feat_889.08,feat_894.12,feat_899.16,feat_904.20,feat_909.24,feat_914.29,feat_919.33,feat_924.37,feat_929.41,feat_934.45,feat_939.50,feat_944.54,feat_949.58,feat_954.62,feat_959.66,feat_964.71,feat_969.75,feat_974.79,feat_979.83,feat_984.87,feat_989.92,feat_994.96,feat_1000.00,label
0.4334539,0.35420406,0.28362954,0.22173032,0.16850641,0.123957805,0.08646293,0.059417084,0.042198908,0.033543535,0.031814925,0.03520465,0.038629483,0.039764524,0.039225783,0.039045535,0.039876305,0.042066492,0.046094045,0.0524615,0.06154538,0.07342495,0.087758906,0.103743315,0.120224975,0.1358644,0.14935601,0.1596699,0.16618234,0.1686901,0.16736513,0.16272078,0.15555578,0.14682056,0.13746567,0.1282898,0.11983517,0.11237122,0.10592621,0.100342,0.09535454,0.0907105,0.086249225,0.081903845,0.077646405,0.07343553,0.06922293,0.065012425,0.060894396,0.05705178,0.053806677,0.0517151,0.051626913,0.054652814,0.06205981,0.07514379,0.095065325,0.12262856,0.15800987,0.2005896,0.24899974,0.30130854,0.35524622,0.40844223,0.45869014,0.50419974,0.54376125,0.57679504,0.603298,0.623756,0.6390047,0.6500569,0.6579287,0.6634995,0.6674699,0.67034096,0.6724374,0.67396253,0.6750452,0.6757896,0.6762667,0.6765332,0.67662877,0.676584,0.6764453,0.6762501,0.676032,0.6758218,0.6756363,0.6754917,0.6753943,0.6753468,0.6753409,0.6753582,0.67537636,0.675364,0.6752826,0.67509764,0.6747639,0.6742401,0.67347765,0.6724156,0.6709959,0.6691518,0.6668321,0.6640079,0.6606963,0.6569675,0.6529467,0.6488097,0.64476967,0.64098406,0.63756895,0.63459283,0.6320769,0.629976,0.6282849,0.6270036,0.62613213,0.62567055,MD
0.37662804,0.30615795,0.24382508,0.1896294,0.14357094,0.105649695,0.07508214,0.053923503,0.04140724,0.036235195,0.03677983,0.041271612,0.0452983,0.04713314,0.047562625,0.047967173,0.04873507,0.05006272,0.052160144,0.05522425,0.0593528,0.06450083,0.070464045,0.07688513,0.08330729,0.08924243,0.09425269,0.09802564,0.10039325,0.10132802,0.10091952,0.09935939,0.09692198,0.09392901,0.09070368,0.08751751,0.084554486,0.08191149,0.07960786,0.07759778,0.075791895,0.07409645,0.0724477,0.070816174,0.06918725,0.06754399,0.06587362,0.06419734,0.06259128,0.06118941,0.060196597,0.05992363,0.060806833,0.06338461,0.06824504,0.0759688,0.08706743,0.101912774,0.12065767,0.14317632,0.1690554,0.1976228,0.22798778,0.2590952,0.28981754,0.31907195,0.3459402,0.3697711,0.39023903,0.40735093,0.42139712,0.43285477,0.44227186,0.45016968,0.45698053,0.46301872,0.4684862,0.47350463,0.47814322,0.4824488,0.48645648,0.49019626,0.4936933,0.49696988,0.5000473,0.50294524,0.5056853,0.5082882,0.51077,0.51314634,0.5154325,0.5176451,0.5198042,0.5219265,0.5240275,0.52611816,0.5282097,0.53030074,0.5323758,0.5344024,0.5363344,0.5381171,0.5396984,0.54103076,0.54208547,0.54285717,0.5433716,0.5436757,0.5438299,0.54389626,0.5439075,0.54396677,0.5441707,0.54460436,0.54534036,0.5465488,0.5480883,0.5499589,0.55216056,0.5546933,SD
0.36419484,0.29434326,0.2326261,0.17904334,0.13359499,0.09628104,0.06645386,0.04595271,0.033957265,0.029136663,0.029852921,0.0343487,0.03819728,0.03981816,0.040089455,0.040416792,0.04111524,0.04236678,0.044392873,0.04740796,0.051535796,0.056752916,0.062867016,0.069520585,0.07624358,0.08251602,0.08786143,0.091920525,0.09449794,0.095549844,0.095160745,0.093525656,0.0909376,0.087743714,0.084295504,0.08088668,0.077717245,0.07489202,0.07243456,0.07029518,0.06837829,0.066583596,0.06484399,0.063129745,0.06143127,0.059738096,0.05804322,0.05637645,0.054823224,0.053524602,0.052689888,0.05262968,0.05378249,0.056700643,0.06199884,0.070293166,0.08213883,0.097951114,0.117905214,0.14185543,0.16931835,0.19950895,0.23140065,0.26380852,0.29549736,0.3253222,0.3523601,0.37600616,0.3960151,0.4124799,0.42576396,0.43639922,0.44497177,0.45202282,0.4579874,0.46317938,0.46780527,0.47198853,0.47580758,0.47931057,0.4825237,0.48546156,0.48813337,0.49055034,0.49273032,0.49470258,0.49650934,0.49819475,0.49980703,0.5013888,0.5029716,0.5045767,0.50621223,0.5078817,0.5095789,0.5112887,0.5129869,0.5146329,0.5161787,0.5175711,0.51875776,0.5196943,0.52033854,0.52066046,0.5206427,0.5202882,0.51962465,0.5187059,0.51761585,0.5164609,0.5153502,0.5144155,0.51376486,0.5134797,0.5136113,0.5142402,0.5152807,0.5167329,0.51859665,0.5208721,SD
0.44210938,0.36598364,0.29725495,0.23592332,0.18198876,0.13545126,0.09260494,0.059808977,0.037464753,0.025116434,0.021625606,0.025323903,0.030260246,0.033194155,0.03386343,0.03385397,0.034108296,0.03517055,0.03769312,0.042352974,0.049647424,0.059727956,0.07230961,0.08664714,0.10162187,0.1159178,0.12827769,0.13772543,0.1436797,0.14596537,0.14475435,0.14052223,0.13399094,0.12601988,0.11747093,0.10907355,0.10133119,0.09450242,0.08863032,0.083582625,0.07911447,0.07497363,0.07098487,0.06706631,0.06318864,0.059328895,0.055470824,0.051650677,0.047974378,0.044607166,0.041813936,0.040057,0.040076423,0.042892333,0.049734294,0.06193574,0.08078385,0.10730141,0.14196014,0.18447612,0.23379199,0.28820133,0.3455206,0.40330866,0.45912695,0.51082224,0.55675536,0.5959345,0.6280368,0.6533513,0.6726465,0.6869781,0.69747484,0.7051719,0.7108984,0.715254,0.7186268,0.72125864,0.72330785,0.72489303,0.7260993,0.72699136,0.72762483,0.728042,0.7282819,0.72837955,0.72836053,0.7282502,0.7280636,0.72782165,0.7275405,0.72723955,0.7269371,0.7266357,0.72633886,0.72603476,0.7256961,0.7252867,0.72475547,0.72404045,0.72305715,0.72171223,0.7198939,0.71749645,0.7144375,0.7106831,0.7062802,0.7013626,0.6961552,0.6909442,0.6860784,0.6817776,0.678174,0.6753267,0.6732184,0.6716831,0.6707909,0.67054194,0.6709362,0.67197365,WW
0.42078707,0.3369441,0.2631899,0.19952452,0.14594795,0.10246015,0.06929061,0.047148366,0.03468358,0.030030357,0.031068634,0.03566843,0.039140087,0.03999051,0.039742343,0.03993775,0.040950462,0.043237172,0.047375377,0.053923525,0.06323712,0.075326465,0.089760736,0.105661705,0.12182246,0.13689585,0.1496382,0.15912716,0.16485871,0.16673559,0.16499516,0.1601728,0.15304169,0.14449811,0.13542672,0.12656152,0.11840061,0.11119398,0.10497603,0.09960229,0.094817206,0.090373576,0.08611756,0.08199035,0.07797694,0.07405562,0.070206925,0.06646263,0.06291739,0.059736285,0.057231843,0.055981196,0.05688822,0.061130673,0.0700308,0.08488877,0.10677712,0.13627478,0.17320512,0.21655741,0.26464948,0.31538042,0.36648622,0.41578454,0.46141323,0.5020163,0.53682464,0.5656235,0.5886522,0.6065003,0.620006,0.6300988,0.63765675,0.6434084,0.6479143,0.65156096,0.6545922,0.65714717,0.65930027,0.6610972,0.66257256,0.66375774,0.66468567,0.6654016,0.6659717,0.6664633,0.6669455,0.66746247,0.6680366,0.6686738,0.669366,0.6700846,0.67079836,0.6714798,0.6721111,0.6726821,0.67319596,0.6736482,0.6740251,0.674299,0.6744321,0.6743653,0.67404693,0.6734212,0.67244214,0.67108357,0.66934,0.66724074,0.66484666,0.6622763,0.6597423,0.657489,0.65575844,0.65475154,0.65462035,0.655593,0.65744615,0.66017985,0.6637941,0.6682889,MD
0.4182819,0.33719438,0.2654836,0.20314953,0.15019219,0.106611565,0.07166781,0.04746134,0.033066303,0.026962295,0.027262338,0.031943034,0.036044776,0.037532393,0.0375694,0.037798714,0.038705736,0.040769618,0.04456836,0.05065248,0.059367202,0.0707235,0.084317595,0.09932885,0.11463048,0.12897097,0.1411949,0.15043603,0.15621448,0.15842326,0.15727203,0.15324639,0.14705104,0.1395047,0.1314221,0.12347985,0.1161293,0.10959259,0.1038984,0.09891705,0.09442811,0.09022063,0.08616738,0.08222653,0.07839191,0.0746378,0.07092879,0.067270644,0.06373447,0.06048025,0.05783451,0.056394964,0.057072137,0.06102359,0.06950902,0.08372549,0.1046209,0.13265957,0.16761257,0.2085129,0.25381815,0.3016428,0.34996852,0.3968329,0.4405301,0.47976843,0.51377237,0.5422591,0.56537175,0.58360034,0.59768933,0.6085033,0.6168734,0.6234821,0.6288451,0.6333073,0.63709074,0.6403218,0.64307815,0.6454164,0.6473894,0.6490546,0.6504678,0.6516808,0.6527506,0.653729,0.65464956,0.6555317,0.6563779,0.65718883,0.6579586,0.6586832,0.65935594,0.6599751,0.66053814,0.6610438,0.66149193,0.6618959,0.6622655,0.6626146,0.6629357,0.66319937,0.663346,0.66328686,0.6629205,0.66215235,0.6609303,0.6592719,0.65726143,0.65504533,0.6528121,0.65074843,0.648999,0.6476634,0.6467933,0.64641285,0.64646214,0.64694124,0.64785016,0.6491888,MD
0.43893963,0.36317796,0.29494917,0.23425332,0.18109038,0.13546035,0.09407601,0.06267229,0.041507136,0.030022912,0.027008558,0.03075776,0.03551146,0.03825808,0.038799744,0.0386139,0.038597,0.039269388,0.04133703,0.045543794,0.052456606,0.062293187,0.07482111,0.08932707,0.10468151,0.1195084,0.13245898,0.14246531,0.14887376,0.15145972,0.15037271,0.14609231,0.13936938,0.13110988,0.122221686,0.113474846,0.10540685,0.098297626,0.09219957,0.0869776,0.08237554,0.07812641,0.074043274,0.070037246,0.06607671,0.06214003,0.058212783,0.054333698,0.05061326,0.047215875,0.044390053,0.04256964,0.04246292,0.045063995,0.051595822,0.06341308,0.08186145,0.10805885,0.14259018,0.18526426,0.23506823,0.2902955,0.34872803,0.407856,0.46516374,0.5184161,0.5659097,0.6066151,0.6401777,0.6668565,0.68738997,0.70283353,0.71433365,0.7229481,0.729542,0.73474306,0.73896354,0.7424587,0.7453823,0.7478304,0.7498687,0.7515547,0.7529328,0.7540525,0.75495976,0.7556983,0.7562993,0.75678664,0.7571776,0.7574819,0.75771946,0.75790745,0.7580692,0.75822973,0.7583963,0.7585679,0.7587257,0.7588227,0.7588046,0.758598,0.7581148,0.75724506,0.7558656,0.7538437,0.7510589,0.7474489,0.7430224,0.737884,0.7322453,0.72638947,0.7206565,0.7153015,0.7105142,0.70639503,0.702965,0.7001602,0.6979711,0.6963977,0.69544005,0.6950981,WW
0.4271102,0.34447134,0.2713048,0.2076105,0.15338852,0.108638816,0.07266501,0.047485158,0.03212044,0.025023947,0.024362756,0.028228667,0.031629622,0.032685716,0.032721825,0.033378188,0.03504324,0.038046047,0.042842984,0.04988747,0.059500687,0.07169799,0.086062886,0.10173878,0.117570624,0.13226299,0.14461309,0.15373155,0.15913868,0.16074802,0.15880463,0.15384318,0.14663538,0.13807878,0.1290574,0.120294355,0.112266764,0.105200686,0.09910867,0.09382942,0.08909736,0.08466806,0.080401145,0.07625512,0.0722281,0.06830684,0.06447897,0.060781334,0.057312854,0.054239184,0.051861595,0.05072912,0.051689483,0.055841,0.06441863,0.07865496,0.09960422,0.12790646,0.16354471,0.20575121,0.25311083,0.3037443,0.35551786,0.40625232,0.45395455,0.4970343,0.534433,0.56567264,0.590819,0.61038846,0.6252257,0.636304,0.6445755,0.65084755,0.6557426,0.6596893,0.66295105,0.66569394,0.6680288,0.6700285,0.67173594,0.6731469,0.6742514,0.67504454,0.675547,0.6757998,0.6758657,0.6758189,0.67573744,0.6756975,0.6757514,0.6759243,0.6762255,0.67663646,0.6771323,0.6776782,0.67823726,0.6787591,0.6791873,0.6794574,0.6794885,0.67919636,0.6784918,0.67728204,0.67549396,0.6730792,0.6700453,0.66645867,0.6624614,0.6582516,0.6540919,0.65020007,0.64675635,0.6438834,0.64164037,0.6400376,0.6390137,0.6385687,0.6387026,0.63941526,MD
0.42342156,0.34576273,0.27648693,0.21559425,0.16308461,0.11895806,0.08112708,0.05363406,0.03611891,0.02751618,0.026269155,0.030524794,0.034824844,0.036651663,0.03648465,0.036150385,0.036348145,0.037551556,0.040408902,0.045577947,0.053539336,0.0644418,0.07799149,0.09341694,0.10955154,0.12501468,0.13847615,0.14888968,0.15562175,0.1584653,0.1575878,0.15348716,0.14692186,0.13879204,0.12999731,0.12130043,0.11323303,0.10607426,0.0998798,0.09452327,0.089761175,0.08533774,0.08107041,0.07686842,0.07269227,0.068504,0.06426936,0.060007047,0.055811573,0.051852446,0.048426297,0.04606122,0.04559042,0.048131138,0.05498182,0.06748368,0.08684568,0.11390351,0.1488403,0.19103114,0.23910394,0.2911375,0.3448803,0.3979887,0.44828466,0.4939948,0.5339044,0.5674047,0.59445053,0.61547506,0.63126886,0.64282125,0.65113413,0.6570949,0.6614111,0.664593,0.666972,0.6687481,0.6700513,0.6709739,0.67158633,0.67194295,0.6720967,0.67209333,0.67198503,0.67181784,0.6716305,0.67144805,0.67128956,0.67116505,0.6710814,0.6710388,0.6710362,0.67105603,0.6710793,0.67107123,0.67099005,0.6707839,0.6703982,0.6697711,0.6688423,0.66754484,0.66580564,0.6635547,0.66074115,0.6573456,0.6533998,0.6489959,0.6442965,0.63950986,0.6348887,0.6306149,0.6268201,0.62357754,0.62090755,0.6187557,0.6171187,0.61599666,0.61538947,0.6152972,WW
0.39946234,0.320799,0.25155878,0.19174165,0.14134762,0.100376695,0.06880824,0.047649115,0.03568476,0.031225156,0.03231903,0.036974233,0.04049737,0.041351106,0.041068427,0.0411353,0.041797794,0.043380924,0.046364278,0.051258884,0.058417518,0.06791415,0.079461,0.09238395,0.10569163,0.118227735,0.12889127,0.1368409,0.14159723,0.14303741,0.14134377,0.13697748,0.13062458,0.123086154,0.115145564,0.10744678,0.100418754,0.094272874,0.08902313,0.08452539,0.08054839,0.07687552,0.07337649,0.07000944,0.06677289,0.063662395,0.060676575,0.057857014,0.055292144,0.053106062,0.05150964,0.05090164,0.051941495,0.055545177,0.062821954,0.07498247,0.09319197,0.11834795,0.1508066,0.19019717,0.23543455,0.2848592,0.33641204,0.38785273,0.43702304,0.4821014,0.52179724,0.5554261,0.5828885,0.60458326,0.6212804,0.6339446,0.64355373,0.6509638,0.6568479,0.66168404,0.66578287,0.6693301,0.67243344,0.67516357,0.677562,0.6796482,0.68143773,0.68294674,0.68420327,0.68525076,0.6861328,0.6868865,0.68753874,0.68811536,0.6886302,0.68909925,0.6895364,0.6899556,0.6903762,0.6908206,0.6912989,0.6918037,0.692306,0.6927578,0.6930818,0.6931904,0.6929842,0.6923681,0.6912672,0.6896404,0.687484,0.6848494,0.6818305,0.67857504,0.67525446,0.672105,0.66934735,0.66716653,0.66569346,0.6651638,0.6653567,0.66627204,0.6679099,0.67027026,DR
