sample,class,cluster_0,cluster_1,cluster_2
SW_DR_2-10_20250419_raw_swir,DR,48.12126696832579,30.162895927601813,21.715837104072396
SW_DR_2-10_20250420_raw_swir,DR,43.842475980754436,33.54549705132653,22.612026967919036
SW_DR_2-10_20250421_raw_swir,DR,36.12986667173859,40.30659794206593,23.563535386195486
SW_DR_2-10_20250422_raw_swir,DR,17.748551911125197,47.484990932938956,34.76645715593584
SW_DR_2-10_20250423_raw_swir,DR,19.967234600262124,42.52457404980341,37.508191349934464
SW_DR_2-11_20250419_raw_swir,DR,49.983962566744026,30.55225373106168,19.4637837021943
SW_DR_2-11_20250420_raw_swir,DR,46.0794701986755,34.37842951750236,19.54210028382214
SW_DR_2-11_20250421_raw_swir,DR,47.830034178296785,32.82718598689832,19.342779834804897
SW_DR_2-11_20250422_raw_swir,DR,26.492730816687825,34.09810268056723,39.40916650274494
SW_DR_2-11_20250423_raw_swir,DR,38.213130455210795,28.46919782424056,33.31767172054864
SW_DR_2-12_20250419_raw_swir,DR,23.151279161116236,42.16278990333709,34.68593093554668
SW_DR_2-12_20250420_raw_swir,DR,31.889064067650853,36.452630070230754,31.65830586211839
SW_DR_2-12_20250421_raw_swir,DR,22.892288767586685,46.46267394479896,30.645037287614365
SW_DR_2-12_20250422_raw_swir,DR,14.098828001267025,43.86601203674375,42.03515996198923
SW_DR_2-12_20250423_raw_swir,DR,19.359372255079933,35.85377993792821,44.78684780699186
SW_DR_2-13_20250419_raw_swir,DR,40.119023189000615,44.19801417544081,15.682962635558573
SW_DR_2-13_20250420_raw_swir,DR,34.87137670010462,47.902947873715306,17.22567542618007
SW_DR_2-13_20250421_raw_swir,DR,34.05900457923579,46.148187073042564,19.792808347721643
SW_DR_2-13_20250422_raw_swir,DR,31.643120130148127,45.71966777977566,22.637212090076204
SW_DR_2-13_20250423_raw_swir,DR,38.06085846303502,38.483402237354085,23.455739299610894
SW_DR_2-14_20250419_raw_swir,DR,34.618522625049685,45.36515972469195,20.016317650258365
SW_DR_2-14_20250420_raw_swir,DR,31.6741363582279,42.11121246975766,26.214651172014435
SW_DR_2-14_20250421_raw_swir,DR,37.952783929136345,37.18562163872192,24.861594432141725
SW_DR_2-14_20250422_raw_swir,DR,22.352584814216478,45.78352180936995,31.86389337641357
SW_DR_2-14_20250423_raw_swir,DR,26.328085123090816,44.463858023479524,29.20805685342966
SW_DR_2-15_20250419_raw_swir,DR,35.575606944744614,39.258698940998485,25.165694114256898
SW_DR_2-15_20250420_raw_swir,DR,34.14498263092351,48.24342924559219,17.611588123484303
SW_DR_2-15_20250421_raw_swir,DR,41.41742963716514,40.41539504916921,18.16717531366565
SW_DR_2-15_20250422_raw_swir,DR,39.067028283611,36.2324680356451,24.7005036807439
SW_DR_2-15_20250423_raw_swir,DR,34.411096534732664,37.46520334047931,28.12370012478802
SW_DR_2-16_20250419_raw_swir,DR,44.12255257432923,40.64539521392313,15.232052211747643
SW_DR_2-16_20250420_raw_swir,DR,37.044859167800496,44.47129541254595,18.483845419653555
SW_DR_2-16_20250421_raw_swir,DR,45.31063485942005,37.419425926946175,17.269939213633776
SW_DR_2-16_20250422_raw_swir,DR,52.74183112261404,28.371077321255257,18.887091556130702
SW_DR_2-16_20250423_raw_swir,DR,38.10653244495945,37.221176129779835,24.672291425260717
SW_DR_2-17_20250419_raw_swir,DR,44.914211115255505,35.95300261096605,19.13278627377844
SW_DR_2-17_20250420_raw_swir,DR,36.025889307919684,42.856657493289845,21.11745319879047
SW_DR_2-17_20250421_raw_swir,DR,47.80059633488559,32.03457402258032,20.164829642534087
SW_DR_2-17_20250422_raw_swir,DR,41.042177863253535,37.396379070230125,21.561443066516347
SW_DR_2-17_20250423_raw_swir,DR,35.810768848590236,38.06048938020122,26.128741771208546
SW_DR_2-18_20250419_raw_swir,DR,35.33766939701224,43.71426964817904,20.94806095480872
